support,itemsets
0.002105883839447416,frozenset({'SKU_3649770'})
0.002470903704951635,frozenset({'SKU_3650057'})
0.0008283143101826503,frozenset({'SKU_3662367'})
0.0019374131322916228,frozenset({'SKU_3663946'})
0.0031869042103637563,frozenset({'SKU_3672270'})
0.002990355052015331,frozenset({'SKU_3673946'})
0.006359769195131196,frozenset({'SKU_3683946'})
0.002990355052015331,frozenset({'SKU_3689483'})
0.011666596470538686,frozenset({'SKU_3690654'})
0.0024007075769700544,frozenset({'SKU_3699483'})
0.002007609260273203,frozenset({'SKU_3729483'})
0.0025270606073368993,frozenset({'SKU_3743770'})
0.003692316331831136,frozenset({'SKU_3751221'})
0.0018952954555026744,frozenset({'SKU_3757564'})
0.003818669362197981,frozenset({'SKU_3773095'})
0.002583217509722164,frozenset({'SKU_3777564'})
0.0050120035378848505,frozenset({'SKU_3787564'})
0.0020216484858695196,frozenset({'SKU_3817564'})
0.002386668351373738,frozenset({'SKU_3826582'})
0.007805809431551756,frozenset({'SKU_3844099'})
0.010852321385952352,frozenset({'SKU_3854099'})
0.002386668351373738,frozenset({'SKU_3861688'})
0.013533813474848727,frozenset({'SKU_3864099'})
0.018293110951999886,frozenset({'SKU_3868338'})
0.0038327085877942974,frozenset({'SKU_3871688'})
0.007440789566047537,frozenset({'SKU_3874099'})
0.0018952954555026744,frozenset({'SKU_3878338'})
0.006612475255864886,frozenset({'SKU_3894099'})
0.018012326440073567,frozenset({'SKU_3898011'})
0.006219376939168035,frozenset({'SKU_3908011'})
0.0029622766008226987,frozenset({'SKU_3949538'})
0.0026534136377037443,frozenset({'SKU_3953783'})
0.01861601314071516,frozenset({'SKU_3968011'})
0.006429965323112777,frozenset({'SKU_3968356'})
0.04217383369133359,frozenset({'SKU_3978011'})
0.008844712125679147,frozenset({'SKU_3988011'})
0.01781577728172514,frozenset({'SKU_3998011'})
0.007721574077973859,frozenset({'SKU_4008011'})
0.0050821996658664305,frozenset({'SKU_4008113'})
0.003285178789537969,frozenset({'SKU_4032567'})
0.009560712631091269,frozenset({'SKU_4062567'})
0.008409496132193349,frozenset({'SKU_4072567'})
0.0018952954555026744,frozenset({'SKU_4096578'})
0.038355164329135605,frozenset({'SKU_4108011'})
0.008409496132193349,frozenset({'SKU_4112626'})
0.0020356877114658355,frozenset({'SKU_4118498'})
0.003804630136601665,frozenset({'SKU_4126578'})
0.0037063555574274524,frozenset({'SKU_4136578'})
0.011694674921731317,frozenset({'SKU_4138348'})
0.005657807915315391,frozenset({'SKU_4148348'})
0.0032009434359600722,frozenset({'SKU_4148364'})
0.003004394277611647,frozenset({'SKU_4198011'})
0.019556641255668337,frozenset({'SKU_4208011'})
0.0044223560628395735,frozenset({'SKU_4218011'})
0.0038467478133906133,frozenset({'SKU_4329285'})
0.0028920804728411183,frozenset({'SKU_4331116'})
0.0016706678459616168,frozenset({'SKU_4344366'})
0.0018531777787137262,frozenset({'SKU_4354366'})
0.001165255724494237,frozenset({'SKU_4356618'})
0.008030437041092813,frozenset({'SKU_4440924'})
0.0015443148155947718,frozenset({'SKU_4472217'})
0.004478512965224838,frozenset({'SKU_4484478'})
0.002358589900181106,frozenset({'SKU_4488011'})
0.00468910134916958,frozenset({'SKU_4498011'})
0.0021901191930253127,frozenset({'SKU_4567759'})
0.0037625124598127165,frozenset({'SKU_4621037'})
0.00234455067458479,frozenset({'SKU_4641037'})
0.0028078451192632215,frozenset({'SKU_4658011'})
0.002358589900181106,frozenset({'SKU_4661037'})
0.0033553749175195494,frozenset({'SKU_4674761'})
0.0037203947830237684,frozenset({'SKU_4746413'})
0.0029763158264190146,frozenset({'SKU_4756413'})
0.002793805893666905,frozenset({'SKU_4776413'})
0.0037905909110053488,frozenset({'SKU_4838011'})
0.001193334175686869,frozenset({'SKU_4866413'})
0.005461258756966966,frozenset({'SKU_4928011'})
0.0028218843448595374,frozenset({'SKU_4938011'})
