2509,LAS CRUCES          ,NM,88011,1
2517,SAN ANTONIO         ,TX,78216,0
2600,GARDENA             ,CA,90248,0
2602,ALTAMONTE SPRINGS   ,FL,32701,1
2603,MISSION             ,KS,66205,1
2604,CLARKSVILLE         ,TN,37040,1
2607,LAREDO              ,TX,78041,1
2609,EL PASO             ,TX,79912,1
2700,FT. WORTH           ,TX,76137,0
2702,ORLANDO             ,FL,32803,1
2704,MURFREESBORO        ,TN,37129,1
2707,MCALLEN             ,TX,78501,1
2719,EL PASO             ,TX,79925,0
2804,KNOXVILLE           ,TN,37919,1
2807,HARLINGEN           ,TX,78552,1
2809,ST GEORGE           ,UT,84790,1
2900,GILBERT             ,AZ,85233,0
2904,KNOXVILLE           ,TN,37924,1
2907,BROWNSVILLE         ,TX,78526,1
2909,LOGAN               ,UT,84341,1
3000,CARSON              ,CA,90746,0
3002,JACKSONVILLE        ,FL,32246,1
3003,WICHITA             ,KS,67207,1
3004,CHATTANOOGA         ,TN,37421,1
3007,WACO                ,TX,76710,1
3009,MURRAY              ,UT,84107,1
3100,SALISBURY           ,NC,28146,0
3102,JACKSONVILLE        ,FL,32225,1
3103,WICHITA             ,KS,67209,1
3107,TEMPLE              ,TX,76502,1
3109,OGDEN               ,UT,84405,1
3200,VALDOSTA            ,GA,31601,0
3202,ORANGE PARK         ,FL,32073,1
3204,SHREVEPORT          ,LA,71104,1
3207,KILLEEN             ,TX,76543,1
3209,SANDY               ,UT,84070,1
3300,OLATHE              ,KS,66062,0
3302,JACKSONVILLE        ,FL,32256,1
3303,HUTCHINSON          ,KS,67501,1
3304,BOSSIER CITY        ,LA,71111,1
3307,AUSTIN              ,TX,78746,1
3309,PROVO               ,UT,84601,1
3367,AUSTIN              ,TX,52011,0
3400,MABELVALE           ,AR,72103,0
3402,GAINESVILLE         ,FL,32605,1
3403,SALINA              ,KS,67401,1
3404,SHREVEPORT          ,LA,71118,0
3407,AUSTIN              ,TX,78752,1
3409,BOISE               ,ID,83704,1
3500,JEFFERSONTOWN       ,KY,40299,0
3502,DAYTONA BEACH       ,FL,32114,1
3503,MANHATTAN           ,KS,66502,1
3504,MONROE              ,LA,71203,1
3507,CEDAR PARK          ,TX,78613,1
3509,POCATELLO           ,ID,83202,1
3600,GARDENA             ,CA,90248,0
3602,MERRITT ISLAND      ,FL,32952,1
3603,TOPEKA              ,KS,66604,1
3604,ALEXANDRIA          ,LA,71301,1
3607,COLLEGE STATION     ,TX,77840,1
3609,IDAHO FALLS         ,ID,83404,1
3700,FORT WORTH          ,TX,76137,0
3702,MELBOURNE           ,FL,32904,1
3704,TEXARKANA           ,TX,75503,1
3707,VICTORIA            ,TX,77904,1
3709,MISSOULA            ,MT,59801,1
3800,MONMOUTH JUNCTION   ,NJ,08852,0
3802,JENSEN BEACH        ,FL,34957,1
3804,ASHEBORO            ,NC,27203,1
3807,CORPUS CHRISTI      ,TX,78411,1
3809,HELENA              ,MT,59601,1
3900,GILBERT             ,AZ,85233,0
3902,SPANISH FORT        ,AL,36527,1
3909,BILLINGS            ,MT,59102,1
4003,WEST DES MOINES     ,IA,50266,1
4004,RALEIGH             ,NC,27616,1
4007,AMARILLO            ,TX,79121,1
4062,WINSTON-SALEM       ,NC,27105,0
4102,MOBILE              ,AL,36606,1
4103,OMAHA               ,NE,68114,1
4104,CARY                ,NC,27511,1
4107,CLOVIS              ,NM,88101,1
4109,LAS VEGAS           ,NV,89109,1
4165,DAYTON              ,NJ,08810,0
4202,PENSACOLA           ,FL,32504,1
4203,COUNCIL BLUFFS      ,IA,51503,1
4204,CHAPEL HILL         ,NC,27514,1
4207,WICHITA FALLS       ,TX,76308,1
4209,LAS VEGAS           ,NV,89107,1
4302,TALLAHASSEE         ,FL,32301,1
4303,OMAHA               ,NE,68144,1
4304,DURHAM              ,NC,27707,0
4307,LUBBOCK             ,TX,79414,1
4309,LAS VEGAS           ,NV,89119,1
4402,VERO BEACH          ,FL,32966,1
4403,LINCOLN             ,NE,68505,1
4404,GREENSBORO          ,NC,27407,1
4407,ABILENE             ,TX,79606,1
4409,HENDERSON           ,NV,89014,1
4502,TALLAHASSEE         ,FL,32303,1
4503,GRAND ISLAND        ,NE,68803,1
4504,WINSTON-SALEM       ,NC,27103,1
4507,SAN ANGELO          ,TX,76904,1
4565,LYNDHURST           ,NJ,07071,0
4603,CORALVILLE          ,IA,52241,1
4604,HICKORY             ,NC,28602,1
4607,MIDLAND             ,TX,79705,1
4702,MARY ESTHER         ,FL,32569,1
4703,WATERLOO            ,IA,50702,1
4704,HIGH POINT          ,NC,27262,1
4707,ODESSA              ,TX,79762,1
4802,PANAMA CITY         ,FL,32405,1
4803,DAVENPORT           ,IA,52806,1
4804,ASHEVILLE           ,NC,28805,1
4807,LONGVIEW            ,TX,75605,1
4902,BILOXI              ,MS,39531,1
4903,MOLINE              ,IL,61265,1
4904,ASHEVILLE           ,NC,28806,1
4907,TYLER               ,TX,75703,1
4909,RENO                ,NV,89511,1
4965,NEW YORK            ,NY,10019,0
5002,CORAL SPRINGS       ,FL,33071,1
5004,CHARLOTTE           ,NC,28211,1
5006,HERMITAGE           ,TN,37076,0
5102,FT. LAUDERDALE      ,FL,33304,1
5103,CINCINNATI          ,OH,45236,1
5104,CHARLOTTE           ,NC,28212,1
5106,INDEPENDENCE        ,MO,64055,0
5200,MOBILE              ,AL,99999,0
5202,PLANTATION          ,FL,33388,1
5203,CINCINNATI          ,OH,45246,1
5204,GASTONIA            ,NC,28054,1
5206,LEE'S SUMMIT        ,MO,64063,0
5300,NASHVILLE           ,TN,99999,0
5302,PEMBROKE PINES      ,FL,33026,1
5303,CINCINNATI          ,OH,45251,1
5304,FLORENCE            ,AL,35630,1
5306,RAYTOWN             ,MO,64133,0
5402,BOYNTON BEACH       ,FL,33426,1
5403,CINCINNATI          ,OH,45211,1
5404,DECATUR             ,AL,35601,1
5502,WEST PALM BEACH     ,FL,33401,1
5503,CRESTVIEW HILLS     ,KY,41017,1
5504,PINEVILLE           ,NC,28134,1
5602,WELLINGTON          ,FL,33414,1
5603,CINCINNATI          ,OH,45245,1
5604,HUNTSVILLE          ,AL,35806,1
5703,CINCINNATI          ,OH,45249,1
5704,AUGUSTA             ,GA,30909,1
5802,MIAMI               ,FL,33172,1
5803,FRANKLIN            ,OH,45005,1
5804,AUGUSTA             ,GA,30909,1
5903,RICHMOND            ,IN,47374,1
5904,AIKEN               ,SC,29803,1
5912,MIAMI               ,FL,33189,0
6002,ALPHARETTA          ,GA,30022,1
6004,HUNTSVILLE          ,AL,35801,1
6009,STOCKTON            ,CA,95207,1
6100,SALISBURY           ,NC,28146,1
6102,BUFORD              ,GA,30519,1
6104,CHARLESTON          ,SC,29407,1
6109,PALMDALE            ,CA,93551,1
6113,CLEVELAND           ,OH,44113,0
6200,VALDOSTA            ,GA,31601,1
6202,DOUGLASVILLE        ,GA,30135,1
6203,MENTOR              ,OH,44060,1
6204,NORTH CHARLESTON    ,SC,29406,1
6209,EL CENTRO           ,CA,92243,1
6300,OLATHE              ,KS,66062,1
6302,LITHONIA            ,GA,30038,1
6303,EUCLID              ,OH,44132,0
6304,MYRTLE BEACH        ,SC,29577,1
6400,MABELVALE           ,AR,72103,1
6402,ATLANTA             ,GA,30346,1
6403,STRONGSVILLE        ,OH,44136,1
6404,COLUMBIA            ,SC,29212,1
6502,ATLANTA             ,GA,30363,1
6503,BEACHWOOD           ,OH,44122,1
6604,GREENVILLE          ,SC,29607,1
6700,FORT WORTH          ,TX,76137,1
6703,NORTH OLMSTED       ,OH,44070,1
6704,SPARTANBURG         ,SC,29301,1
6803,FAIRVIEW PARK       ,OH,44126,0
6804,COLUMBIA            ,SC,29223,1
6900,GILBERT             ,AZ,85233,1
6902,MACON               ,GA,31206,1
6903,ELYRIA              ,OH,44035,1
6904,WILMINGTON          ,NC,28403,1
7002,TUSCALOOSA          ,AL,35405,1
7003,ASHTABULA           ,OH,44004,1
7004,NORFOLK             ,VA,23510,1
7007,THE WOODLANDS       ,TX,77380,1
7100,FT WORTH            ,TX,76137,1
7102,MONTGOMERY          ,AL,36117,1
7103,AKRON               ,OH,44333,1
7104,VIRGINIA BEACH      ,VA,23452,1
7107,HOUSTON             ,TX,77070,1
7202,MONTGOMERY          ,AL,36117,1
7203,AKRON               ,OH,44322,0
7204,CHESAPEAKE          ,VA,23320,1
7207,HOUSTON             ,TX,77060,0
7300,OLATHE              ,KS,66062,0
7302,AUBURN              ,AL,36830,1
7303,CANTON              ,OH,44718,1
7304,CHESAPEAKE          ,VA,23321,1
7307,HOUSTON             ,TX,77082,1
7402,DOTHAN              ,AL,36303,1
7403,BOARDMAN            ,OH,44512,1
7404,NEWPORT NEWS        ,VA,23602,1
7407,HOUSTON             ,TX,77024,1
7500,LOUISVILLE          ,KY,40299,1
7502,COLUMBUS            ,GA,31909,1
7503,NILES               ,OH,44446,1
7507,HOUSTON             ,TX,77056,1
7567,HOUSTON             ,TX,77055,0
7600,SALISBURY           ,NC,28146,0
7602,ALBANY              ,GA,31707,1
7603,TOLEDO              ,OH,43623,1
7604,RICHMOND            ,VA,23233,1
7617,HOUSTON             ,TX,77036,0
7700,FT. WORTH           ,TX,76137,1
7702,SAVANNAH            ,GA,31419,1
7703,TOLEDO              ,OH,43614,1
7704,RICHMOND            ,VA,23235,1
7707,SUGAR LAND          ,TX,77479,1
7800,FT WORTH            ,TX,76137,0
7804,GLEN ALLEN          ,VA,23060,1
7807,PASADENA            ,TX,77506,1
7813,TOLEDO              ,OH,43612,0
7900,OLATHE              ,KS,66062,0
7902,OXFORD              ,AL,36203,1
7903,TOLEDO              ,OH,43606,0
7904,RICHMOND            ,VA,23235,1
7907,FRIENDSWOOD         ,TX,77546,1
8002,BATON ROUGE         ,LA,70815,1
8004,COLONIAL HEIGHTS    ,VA,23834,1
8006,LITTLE ROCK         ,AR,72201,0
8007,HUMBLE              ,TX,77338,1
8102,LAFAYETTE           ,LA,70503,1
8104,TULSA               ,OK,74135,0
8106,LITTLE ROCK         ,AR,72201,0
8109,LITTLETON           ,CO,80124,1
8202,HOUMA               ,LA,70364,1
8204,TULSA               ,OK,74135,1
8206,LITTLE ROCK         ,AR,72201,0
8209,AURORA              ,CO,80012,1
8302,KENNER              ,LA,70065,1
8304,TULSA               ,OK,74134,0
8306,LITTLE ROCK         ,AR,72201,0
8309,CENTENNIAL          ,CO,80122,1
8402,METAIRIE            ,LA,70002,1
8403,PADUCAH             ,KY,42001,1
8404,TULSA               ,OK,74133,1
8406,LITTLE ROCK         ,AR,72201,0
8407,LAKE JACKSON        ,TX,77566,1
8409,LITTLETON           ,CO,80123,1
8503,BOWLING GREEN       ,KY,42104,1
8504,BARTLESVILLE        ,OK,74006,1
8506,LITTLE ROCK         ,AR,72201,0
8507,TEXAS CITY          ,TX,77591,1
8509,AURORA              ,CO,80021,1
8512,MARREOR             ,LA,70072,0
8519,LAKEWOOD            ,CO,80226,0
8602,GRETNA              ,LA,70053,1
8603,LEXINGTON           ,KY,40502,1
8604,MUSKOGEE            ,OK,74401,1
8607,BEAUMONT            ,TX,77706,1
8609,WESTMINSTER         ,CO,80030,1
8702,SLIDELL             ,LA,70460,1
8703,LEXINGTON           ,KY,40503,1
8706,LITTLE ROCK         ,AR,72201,0
8707,PORT ARTHUR         ,TX,77642,1
8709,BROOMFIELD          ,CO,80021,1
8802,HAMMOND             ,LA,70403,1
8803,LEXINGTON           ,KY,40504,1
8808,LITTLE ROCK         ,AR,72201,0
8902,HATTIESBURG         ,MS,39402,1
8906,LITTLE ROCK         ,AR,72201,0
9000,GILBERT             ,AZ,85233,0
9002,NEW ORLEANS         ,LA,70127,1
9100,XXXXXXXXXXXXXXXXXXXX,TX,99999,0
9103,LOUISVILLE          ,KY,40207,1
9104,ENID                ,OK,73703,1
9106,LOS ANGELES         ,CA,90079,0
9112,BATON ROUGE         ,LA,70806,0
9202,MERIDIAN            ,MS,39301,1
9204,OKLAHOMA CITY       ,OK,73134,1
9206,ARLINGTON           ,TX,76011,0
9209,PUEBLO              ,CO,81008,1
9302,BATON ROUGE         ,LA,70836,1
9303,LOUISVILLE          ,KY,40216,1
9304,OKLAHOMA CITY       ,OK,73118,1
9306,ARLINGTON           ,TX,76011,0
9309,COLORADO SPRINGS    ,CO,80909,1
9402,LAKE CHARLES        ,LA,70601,1
9403,LOUISVILLE          ,KY,40202,0
9404,OKLAHOMA CITY       ,OK,73149,1
9409,COLORADO SPRINGS    ,CO,80920,1
9503,CLARKSVILLE         ,IN,47129,1
9504,NORMAN              ,OK,73072,1
9506,NEW YORK            ,NY,10036,0
9512,BATON ROUGE         ,LA,70802,0
9603,LOUISVILLE          ,KY,40219,1
9604,MIDWEST CITY        ,OK,73110,1
9609,LONGMONT            ,CO,80501,1
9700,TEMPE               ,AZ,85281,0
9704,SHAWNEE             ,OK,74804,1
9706,NASHVILLE           ,TN,37207,1
9708,BATON ROUGE         ,LA,70802,0
9709,GREELEY             ,CO,80631,1
9800,LITTLE ROCK         ,AR,72201,0
9804,LAWTON              ,OK,73501,1
9806,MABELVALE           ,AR,72103,1
9808,GILBERT             ,AZ,85233,0
9812,METAIRIE            ,LA,70006,0
9900,LITTLE ROCK         ,AR,72201,0
9906,LITTLE ROCK         ,AR,72201,0
9909,CHEYENNE            ,WY,82009,1
